Name,AUID,Coords,Const,Type,Period,Mag,Revised
"MaCoMP_V17","000-BPJ-616","02 21 45.96 +42 00 54.8","And","DSCT","0.194018","12.41 - 12.46 V","2022-05-12 23:28 UTC"
"Sur-MC-11","000-BPQ-847","18 59 42.86 +05 10 45.2","Aql","EW","0.266142","15.98 - 16.07 r","2023-08-11 03:16 UTC"
"GSC 01223-00537","000-BPT-600","02 42 15.61 +16 27 48.8","Ari","EA","4.52845","12.82 (0.06)TESS V","2023-12-21 18:29 UTC"
"2MASS J05175981+3434259","000-BPR-905","05 17 59.81 +34 34 26.0","Aur","EA","4.392014","15.85 - 16.42 r","2023-10-18 19:19 UTC"
"2MASS J05592237+4823439","000-BPR-474","05 59 22.37 +48 23 43.7","Aur","EA","5.3747","15.47 - 15.66 r","2023-10-02 18:35 UTC"
"2MASS J06133845+3227141","000-BPQ-923","06 13 38.45 +32 27 14.0","Aur","BY","--","16.39 - 16.55 r","2023-08-17 18:35 UTC"
"Gaia DR3 182284463654319616","000-BPR-776","05 15 26.00 +34 45 19.5","Aur","DSCT","0.098807","15.40 - 15.48 r","2023-10-11 19:45 UTC"
"Gaia DR3 3454100527232313472","000-BPR-435","06 09 14.55 +37 34 46.4","Aur","EW","0.386869","16.74 - 16.86 r","2023-09-14 06:44 UTC"
"GUNVAG_V1","000-BNJ-506","05 12 27.25 +33 34 49.8","Aur","ELL","0.358:","13.89 - 13.96 V","2020-10-09 18:09 UTC"
"GUNVAG_V11","000-BPC-505","05 14 16.76 +33 25 14.0","Aur","EA","1.82892","16.08 - 16.48 r","2021-08-31 23:04 UTC"
"GUNVAG_V12","000-BPD-032","05 12 48.91 +33 24 06.3","Aur","EW","0.308092","16.53 - 16.63 r","2021-09-16 22:40 UTC"
"GUNVAG_V2","000-BNL-076","05 13 21.03 +33 32 00.4","Aur","EA","0.414","17.9 - 19.5 V","2020-10-09 18:09 UTC"
"GUNVAG_V3","000-BNR-447","05 13 56.16 +33 33 36.2","Aur","EW","0.390","16.5 - 17.0 CV","2020-10-09 18:48 UTC"
